0.561 	0.226 	0.000 
0.542 	0.217 	0.000 
0.523 	0.208 	0.000 
0.504 	0.200 	0.000 
0.485 	0.191 	0.000 
0.466 	0.183 	0.000 
0.448 	0.175 	0.000 
0.430 	0.167 	0.000 
0.412 	0.160 	0.000 
0.395 	0.152 	0.000 
0.378 	0.145 	0.000 
0.361 	0.138 	0.000 
0.344 	0.132 	0.000 
0.329 	0.125 	0.000 
0.313 	0.119 	0.000 
0.298 	0.113 	0.000 
0.284 	0.107 	0.000 
0.270 	0.101 	0.000 
0.256 	0.096 	0.000 
0.243 	0.091 	0.000 
0.231 	0.086 	0.000 
0.219 	0.082 	0.000 
0.207 	0.077 	0.000 
0.196 	0.073 	0.000 
0.185 	0.069 	0.000 
0.175 	0.065 	0.000 
0.165 	0.061 	0.000 
0.155 	0.057 	0.000 
0.146 	0.054 	0.000 
0.137 	0.051 	0.000 
0.129 	0.048 	0.000 
0.121 	0.045 	0.000 
0.114 	0.042 	0.000 
0.106 	0.039 	0.000 
0.100 	0.037 	0.000 
0.093 	0.034 	0.000 
0.087 	0.032 	0.000 
0.082 	0.030 	0.000 
0.077 	0.028 	0.000 
0.072 	0.026 	0.000 
0.068 	0.025 	0.000 
0.064 	0.023 	0.000 
0.060 	0.022 	0.000 
0.056 	0.021 	0.000 
0.053 	0.019 	0.000 
0.050 	0.018 	0.000 
0.047 	0.017 	0.000 
0.044 	0.016 	0.000 
0.041 	0.015 	0.000 
0.038 	0.014 	0.000 
0.035 	0.013 	0.000 
0.033 	0.012 	0.000 
0.031 	0.011 	0.000 
0.028 	0.010 	0.000 
0.026 	0.010 	0.000 
0.024 	0.009 	0.000 
0.023 	0.008 	0.000 
0.021 	0.008 	0.000 
0.020 	0.007 	0.000 
0.018 	0.007 	0.000 
0.017 	0.006 	0.000 
0.016 	0.006 	0.000 
0.015 	0.005 	0.000 
0.014 	0.005 	0.000 
0.013 	0.005 	0.000 
0.012 	0.004 	0.000 
0.011 	0.004 	0.000 
0.011 	0.004 	0.000 
0.010 	0.004 	0.000 
0.009 	0.003 	0.000 
0.009 	0.003 	0.000 
0.008 	0.003 	0.000 
0.008 	0.003 	0.000 
0.007 	0.003 	0.000 
0.007 	0.002 	0.000 
0.006 	0.002 	0.000 
0.006 	0.002 	0.000 
0.005 	0.002 	0.000 
0.005 	0.002 	0.000 
0.005 	0.002 	0.000 
0.004 	0.002 	0.000 
0.004 	0.001 	0.000 
0.004 	0.001 	0.000 
0.004 	0.001 	0.000 
0.003 	0.001 	0.000 
0.003 	0.001 	0.000 
0.003 	0.001 	0.000 
0.003 	0.001 	0.000 
0.003 	0.001 	0.000 
0.002 	0.001 	0.000 
0.002 	0.001 	0.000 
0.002 	0.001 	0.000 
0.002 	0.001 	0.000 
0.002 	0.001 	0.000 
0.002 	0.001 	0.000 
0.002 	0.001 	0.000 
0.001 	0.001 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.001 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
0.000 	0.000 	0.000 
