0.001 	0.000 	0.006 
0.002 	0.000 	0.007 
0.002 	0.000 	0.008 
0.002 	0.000 	0.009 
0.002 	0.000 	0.009 
0.002 	0.000 	0.011 
0.003 	0.000 	0.012 
0.003 	0.000 	0.014 
0.003 	0.000 	0.016 
0.004 	0.000 	0.018 
0.004 	0.000 	0.020 
0.005 	0.000 	0.023 
0.005 	0.000 	0.025 
0.006 	0.000 	0.028 
0.007 	0.000 	0.032 
0.008 	0.000 	0.036 
0.009 	0.000 	0.041 
0.010 	0.000 	0.048 
0.011 	0.000 	0.054 
0.013 	0.000 	0.061 
0.014 	0.000 	0.068 
0.016 	0.000 	0.074 
0.017 	0.000 	0.081 
0.019 	0.001 	0.089 
0.021 	0.001 	0.099 
0.023 	0.001 	0.110 
0.026 	0.001 	0.125 
0.030 	0.001 	0.142 
0.034 	0.001 	0.161 
0.038 	0.001 	0.183 
0.044 	0.001 	0.207 
0.049 	0.001 	0.234 
0.055 	0.002 	0.263 
0.062 	0.002 	0.295 
0.069 	0.002 	0.331 
0.078 	0.002 	0.371 
0.087 	0.002 	0.416 
0.097 	0.003 	0.465 
0.108 	0.003 	0.520 
0.121 	0.004 	0.580 
0.134 	0.004 	0.646 
0.149 	0.005 	0.718 
0.165 	0.005 	0.797 
0.182 	0.006 	0.878 
0.199 	0.007 	0.959 
0.215 	0.007 	1.039 
0.230 	0.008 	1.115 
0.245 	0.009 	1.188 
0.259 	0.010 	1.258 
0.272 	0.011 	1.324 
0.284 	0.012 	1.386 
0.295 	0.013 	1.443 
0.305 	0.014 	1.495 
0.314 	0.015 	1.542 
0.322 	0.016 	1.585 
0.329 	0.017 	1.623 
0.334 	0.018 	1.656 
0.339 	0.019 	1.685 
0.343 	0.020 	1.710 
0.346 	0.022 	1.730 
0.348 	0.023 	1.747 
0.350 	0.024 	1.760 
0.350 	0.026 	1.770 
0.350 	0.027 	1.776 
0.349 	0.028 	1.780 
0.348 	0.030 	1.783 
0.346 	0.031 	1.783 
0.344 	0.033 	1.782 
0.342 	0.035 	1.779 
0.339 	0.036 	1.776 
0.336 	0.038 	1.772 
0.333 	0.040 	1.768 
0.330 	0.042 	1.764 
0.327 	0.044 	1.759 
0.323 	0.046 	1.752 
0.319 	0.048 	1.744 
0.314 	0.050 	1.734 
0.309 	0.053 	1.721 
0.303 	0.055 	1.706 
0.297 	0.057 	1.689 
0.291 	0.060 	1.669 
0.284 	0.063 	1.648 
0.277 	0.065 	1.623 
0.269 	0.068 	1.596 
0.260 	0.071 	1.565 
0.251 	0.074 	1.528 
0.241 	0.077 	1.486 
0.230 	0.080 	1.440 
0.218 	0.084 	1.390 
0.207 	0.087 	1.339 
0.195 	0.091 	1.288 
0.184 	0.095 	1.237 
0.173 	0.099 	1.188 
0.163 	0.103 	1.139 
0.152 	0.108 	1.090 
0.142 	0.113 	1.042 
0.132 	0.118 	0.994 
0.123 	0.123 	0.947 
0.113 	0.128 	0.901 
0.104 	0.133 	0.857 
0.096 	0.139 	0.813 
0.087 	0.145 	0.771 
0.079 	0.150 	0.729 
0.072 	0.156 	0.690 
0.065 	0.163 	0.652 
0.058 	0.169 	0.616 
0.052 	0.176 	0.582 
0.046 	0.184 	0.550 
0.041 	0.191 	0.520 
0.036 	0.199 	0.492 
0.032 	0.208 	0.465 
0.028 	0.217 	0.440 
0.024 	0.227 	0.416 
0.021 	0.237 	0.394 
0.018 	0.247 	0.373 
0.015 	0.259 	0.353 
0.012 	0.270 	0.335 
0.010 	0.282 	0.318 
0.008 	0.295 	0.301 
0.006 	0.309 	0.286 
0.005 	0.323 	0.272 
0.004 	0.338 	0.259 
0.003 	0.355 	0.246 
0.002 	0.372 	0.235 
0.002 	0.389 	0.223 
0.002 	0.407 	0.212 
